Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001289,Male,No,0,Graduate,No,0.10409400123685839,0.0,0.29088277858176553,360.0,1.0,Urban,Y
LP001310,Male,Yes,0,Graduate,No,0.06858379715522572,0.10000719994240047,0.24023154848046308,360.0,1.0,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,0.03473098330241188,0.06959944320445437,0.1765557163531114,360.0,1.0,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,0.07544836116264687,0.1356949144406845,0.25904486251808967,180.0,1.0,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,0.03862708719851578,0.0436796505627955,0.10419681620839363,360.0,1.0,Urban,Y
LP001322,Male,No,0,Graduate,No,0.04926406926406927,0.0,0.16353111432706222,360.0,1.0,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,0.04291898577612864,0.0,0.023154848046309698,120.0,1.0,Semiurban,Y
LP001326,Male,No,0,Graduate,No,0.08202844774273346,0.0,0.17221418234442834,360.0,1.0,Urban,N
LP001327,Female,Yes,0,Graduate,No,0.028868274582560298,0.05524755801953585,0.18523878437047755,360.0,1.0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,0.0225974025974026,0.02392780857753138,0.059334298118668596,360.0,1.0,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,0.04994434137291281,0.0,0.15340086830680172,180.0,1.0,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,0.01990105132962276,0.08498332013343893,0.1765557163531114,360.0,1.0,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,0.05118119975262833,0.07831137350901193,0.17945007235890012,180.0,1.0,Urban,Y
LP001349,Male,No,0,Graduate,No,0.05804576376004948,0.09134326925384598,0.20549927641099852,360.0,1.0,Semiurban,Y
LP001350,Male,Yes,0,Graduate,No,0.16697588126159554,0.0,0.17221418234442834,360.0,1.0,Urban,Y
LP001356,Male,Yes,0,Graduate,No,0.05568336425479283,0.08599131206950344,0.17221418234442834,360.0,1.0,Semiurban,Y
LP001357,Male,Yes,0,Graduate,No,0.04534322820037106,0.018095855233158136,0.21852387843704774,360.0,1.0,Urban,Y
LP001367,Male,Yes,1,Graduate,No,0.03589363017934447,0.024719802241582066,0.13169319826338638,360.0,1.0,Urban,Y
LP001369,Male,Yes,2,Graduate,No,0.13935683364254794,0.027023783809729522,0.3125904486251809,360.0,1.0,Urban,Y
LP001370,Male,No,0,Not Graduate,No,0.08884353741496599,0.0,0.1606367583212735,360.0,1.0,Rural,N
LP001379,Male,Yes,2,Graduate,No,0.04514533085961658,0.08639930880552955,0.29956584659913166,360.0,0.0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,0.023760049474335188,0.018095855233158136,0.12301013024602024,480.0,1.0,Semiurban,Y
LP001385,Male,No,0,Graduate,No,0.0638961038961039,0.0,0.18379160636758318,360.0,1.0,Urban,Y
LP001387,Female,Yes,0,Graduate,No,0.034372294372294374,0.05599155206758346,0.18813314037626624,360.0,1.0,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,0.042325293753865185,0.09873521011831905,0.2069464544138929,360.0,0.0,Rural,N
LP001392,Female,No,1,Graduate,Yes,0.0903030303030303,0.0,0.17221418234442834,360.0,1.0,Semiurban,Y
LP001398,Male,No,0,Graduate,No,0.060606060606060615,0.0,0.15774240231548478,360.0,1.0,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,0.17851576994434137,0.0,0.25470332850940663,180.0,1.0,Rural,Y
LP001404,Female,Yes,0,Graduate,No,0.03731601731601732,0.054791561667506664,0.20984081041968158,360.0,1.0,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,0.025528756957328386,0.03355173158614731,0.10998552821997105,360.0,1.0,Urban,Y
LP001421,Male,Yes,0,Graduate,No,0.06701298701298701,0.051407588739290085,0.24023154848046308,360.0,1.0,Rural,N
LP001422,Female,No,0,Graduate,No,0.12687693259121832,0.0,0.361794500723589,360.0,1.0,Urban,Y
LP001426,Male,Yes,0,Graduate,No,0.06823747680890538,0.06400748794009647,0.24746743849493485,360.0,1.0,Rural,Y
LP001430,Female,No,0,Graduate,No,0.049672232529375394,0.0,0.05065123010130246,360.0,1.0,Semiurban,Y
LP001431,Female,No,0,Graduate,No,0.024576376004947435,0.21551827585379318,0.18523878437047755,360.0,0.0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,0.034718614718614725,0.0,0.10419681620839363,360.0,1.0,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,0.05132962275819419,0.04833561331509348,0.26772793053545585,360.0,1.0,Rural,Y
LP001443,Female,No,0,Graduate,No,0.04380952380952381,0.0,0.1215629522431259,360.0,1.0,Rural,Y
LP001448,Male,Yes,3+,Graduate,No,0.2925541125541126,0.0,0.5224312590448625,360.0,1.0,Rural,Y
LP001449,Male,No,0,Graduate,No,0.04594928880643167,0.03935968512251902,0.17221418234442834,360.0,1.0,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,0.1281756338899196,0.09239926080591356,0.21852387843704774,180.0,0.0,Urban,N
LP001465,Male,Yes,0,Graduate,No,0.07334570191713048,0.06165550675594595,0.25036179450072354,360.0,1.0,Rural,N
LP001469,Male,No,0,Graduate,Yes,0.247569573283859,0.0,0.9276410998552822,480.0,1.0,Urban,Y
LP001473,Male,No,0,Graduate,No,0.02305504019789734,0.04629562963496292,0.09406657018813314,360.0,1.0,Urban,Y
LP001478,Male,No,0,Graduate,No,0.03176252319109463,0.0,0.08827785817655572,360.0,1.0,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,0.040927643784786645,0.0,0.023154848046309698,120.0,1.0,Semiurban,Y
LP001487,Male,No,0,Graduate,No,0.05868893011750155,0.0,0.1345875542691751,360.0,1.0,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,0.04761904761904762,0.1859985120119039,0.406657018813314,360.0,1.0,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,0.05482993197278912,0.0,0.1085383502170767,360.0,1.0,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,0.03915893630179345,0.08399932800537596,0.11432706222865412,360.0,1.0,Urban,Y
LP001492,Male,No,0,Graduate,No,0.18366110080395795,0.0,0.3371924746743849,360.0,0.0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,0.05009276437847867,0.03431972544219646,0.17366136034732269,360.0,1.0,Rural,N
LP001497,Male,Yes,2,Graduate,No,0.06050711193568337,0.049991600067199465,0.25470332850940663,360.0,1.0,Rural,N
LP001498,Male,No,0,Graduate,No,0.06514533085961657,0.0,0.23010130246020258,360.0,1.0,Urban,Y
LP001504,Male,No,0,Graduate,Yes,0.08410636982065553,0.0,0.24023154848046308,180.0,1.0,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,0.03151515151515152,0.0488156094751242,0.16353111432706222,360.0,1.0,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,0.1435621521335807,0.0,0.2575976845151953,180.0,1.0,Urban,Y
LP001514,Female,Yes,0,Graduate,No,0.026963512677798392,0.10766313869489044,0.13169319826338638,360.0,1.0,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,0.1820160791589363,0.0,0.08827785817655572,360.0,1.0,Urban,Y
LP001518,Male,Yes,1,Graduate,No,0.017167594310451454,0.03419972640218878,0.030390738060781478,360.0,1.0,Urban,Y
LP001519,Female,No,0,Graduate,No,0.12183055040197897,0.03998368013055895,0.3125904486251809,360.0,1.0,Rural,N
LP001520,Male,Yes,0,Graduate,No,0.05825602968460112,0.01991984064127487,0.16787264833574528,360.0,1.0,Semiurban,Y
LP001528,Male,No,0,Graduate,No,0.07578231292517007,0.0,0.15774240231548478,360.0,0.0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,0.03001855287569573,0.08999928000575995,0.2069464544138929,360.0,1.0,Rural,Y
LP001531,Male,No,0,Graduate,No,0.11151515151515151,0.0,0.34008683068017365,360.0,1.0,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,0.026357452071737786,0.0,0.150506512301013,360.0,1.0,Rural,N
LP001535,Male,No,0,Graduate,No,0.03839208410636982,0.0,0.059334298118668596,360.0,1.0,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,0.4928756957328386,0.0,0.8552821997105644,180.0,0.0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,0.07235621521335807,0.0,0.21852387843704774,360.0,1.0,Rural,Y
LP001543,Male,Yes,1,Graduate,No,0.11611626468769326,0.0,0.2575976845151953,360.0,1.0,Urban,Y
LP001546,Male,No,0,Graduate,No,0.035003092145949294,0.049991600067199465,0.1606367583212735,360.0,1.0,Rural,Y
LP001552,Male,Yes,0,Graduate,No,0.05482993197278912,0.13499892000863994,0.35600578871201155,360.0,1.0,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,0.021187384044526903,0.024983800129598964,0.12879884225759766,360.0,1.0,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,0.09626468769325912,0.0,0.38494934876989867,360.0,1.0,Urban,N
LP001565,Male,Yes,1,Graduate,No,0.036351267779839214,0.030719754241966064,0.16208393632416784,360.0,0.0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,0.04968460111317255,0.03472772217822257,0.21562952243125902,360.0,1.0,Rural,Y
LP001572,Male,Yes,0,Graduate,No,0.1134570191713049,0.0,0.0955137481910275,180.0,1.0,Urban,Y
LP001574,Male,Yes,0,Graduate,No,0.04399505256648114,0.07598339213286294,0.25036179450072354,360.0,1.0,Rural,Y
LP001577,Female,Yes,0,Graduate,No,0.05482993197278912,0.0,0.14905933429811866,360.0,1.0,Rural,N
LP001578,Male,Yes,0,Graduate,No,0.028311688311688312,0.07999136006911944,0.17366136034732269,360.0,1.0,Rural,Y
LP001579,Male,No,0,Graduate,No,0.025813234384662955,0.0,0.07814761215629522,480.0,0.0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,0.09709338280766852,0.0,0.276410998552822,360.0,1.0,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,No,0.020655534941249228,0.042455660354717165,0.12445730824891461,360.0,1.0,Rural,Y
LP001585,Male,Yes,3+,Graduate,No,0.6383797155225727,0.0,1.0,300.0,1.0,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,0.04170686456400743,0.0,0.10419681620839363,180.0,1.0,Rural,N
LP001594,Male,Yes,0,Graduate,No,0.06874458874458875,0.13499892000863994,0.2575976845151953,360.0,1.0,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,0.05187384044526902,0.017663858689130486,0.11287988422575977,360.0,1.0,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,0.04139764996907855,0.04713562291501668,0.15484804630969606,360.0,1.0,Rural,Y
LP001608,Male,Yes,2,Graduate,No,0.023438466295609153,0.03885568915448676,0.13314037626628072,360.0,1.0,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,0.06636982065553494,0.2711978304173567,0.703328509406657,360.0,0.0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,0.04452690166975882,0.0,0.15484804630969606,360.0,1.0,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,0.027000618429189858,0.03482372141022872,0.1345875542691751,480.0,0.0,Urban,N
LP001633,Male,Yes,1,Graduate,No,0.07730364873222016,0.17399860801113592,0.24746743849493485,360.0,0.0,Urban,N
LP001634,Male,No,0,Graduate,No,0.02184291898577613,0.1215110279117767,0.08393632416787264,360.0,1.0,Rural,N
LP001636,Male,Yes,0,Graduate,No,0.05504019789734076,0.0,0.09261939218523878,180.0,1.0,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,0.4167717996289425,0.0,0.36324167872648333,360.0,1.0,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,0.042980828695114416,0.0,0.14327062228654122,360.0,1.0,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,0.4823376623376624,0.11399908800729594,0.1606367583212735,360.0,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,0.025083487940630797,0.0,0.0824891461649783,300.0,0.0,Rural,N
LP001643,Male,Yes,0,Graduate,No,0.02761904761904762,0.05131158950728394,0.07091172214182344,360.0,1.0,Rural,Y
LP001644,Male,Yes,0,Graduate,Yes,0.006481137909709338,0.12710298317613458,0.23010130246020258,360.0,1.0,Rural,Y
LP001647,Male,Yes,0,Graduate,No,0.11351886209029066,0.0,0.25904486251808967,180.0,1.0,Rural,Y
LP001653,Male,No,0,Not Graduate,No,0.05856524427953,0.0,0.05643994211287988,360.0,1.0,Rural,Y
LP001656,Male,No,0,Graduate,No,0.14656771799628943,0.0,0.22431259044862514,360.0,1.0,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,0.0727643784786642,0.0,0.21852387843704774,360.0,1.0,Urban,N
LP001658,Male,No,0,Graduate,No,0.04586270871985158,0.0,0.09696092619392185,360.0,1.0,Semiurban,Y
LP001664,Male,No,0,Graduate,No,0.049981447124304273,0.0,0.1606367583212735,360.0,1.0,Rural,Y
LP001665,Male,Yes,1,Graduate,No,0.0367965367965368,0.061991504067967454,0.2329956584659913,360.0,1.0,Semiurban,N
LP001666,Male,No,0,Graduate,No,0.10121212121212121,0.08999928000575995,0.2575976845151953,360.0,1.0,Rural,Y
LP001669,Female,No,0,Not Graduate,No,0.02173160173160173,0.05675954592363261,0.1606367583212735,360.0,1.0,Urban,Y
LP001671,Female,Yes,0,Graduate,No,0.04039579468150897,0.06758345933232535,0.150506512301013,360.0,1.0,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,0.1341991341991342,0.0,0.10709117221418234,360.0,1.0,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,0.0303030303030303,0.05999952000383997,0.11722141823444283,360.0,1.0,Semiurban,Y
LP001677,Male,No,2,Graduate,No,0.059035250463821895,0.0,0.22720694645441386,360.0,0.0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,0.04752009894867038,0.0,0.17221418234442834,180.0,1.0,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,0.041434755720470014,0.025991792065663474,0.18234442836468884,360.0,1.0,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,0.04659245516388374,0.0,0.1664254703328509,360.0,1.0,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,0.05266542980828696,0.0,0.1606367583212735,360.0,1.0,Semiurban,Y
LP001693,Female,No,0,Graduate,No,0.03826839826839827,0.0,0.10274963820549927,360.0,1.0,Urban,Y
LP001698,Male,No,0,Not Graduate,No,0.047309833024118744,0.06074351405188758,0.06657018813314038,360.0,1.0,Rural,Y
LP001699,Male,No,0,Graduate,No,0.028806431663574522,0.0,0.0723589001447178,360.0,1.0,Urban,Y
LP001702,Male,No,0,Graduate,No,0.04042053184910328,0.0,0.170767004341534,360.0,1.0,Semiurban,N
LP001708,Female,No,0,Graduate,No,0.12183055040197897,0.0,0.29667149059334297,360.0,1.0,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,0.040568954854669145,0.029999760001919985,0.17221418234442834,360.0,0.0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,0.09445887445887446,0.0,0.3342981186685962,360.0,1.0,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,0.06868274582560296,0.0,0.17510853835021706,360.0,1.0,Rural,Y
LP001716,Male,Yes,0,Graduate,No,0.037390228818800254,0.07250341997264022,0.18523878437047755,360.0,1.0,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,0.04576376004947434,0.023591811265509875,0.13169319826338638,360.0,1.0,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,0.0,0.04319965440276478,0.18234442836468884,360.0,1.0,Rural,N
LP001726,Male,Yes,0,Graduate,No,0.04424242424242425,0.042599659202726375,0.1765557163531114,360.0,1.0,Semiurban,Y
LP001732,Male,Yes,2,Graduate,No,0.05998763141620285,0.0,0.09117221418234442,360.0,0.0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,0.051119356833642556,0.057191542467660256,0.170767004341534,360.0,1.0,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,0.025615337043908473,0.0,0.07380607814761216,360.0,0.0,Urban,N
LP001743,Male,Yes,2,Graduate,No,0.04773036487322202,0.041207670338637294,0.15484804630969606,360.0,1.0,Semiurban,Y
LP001744,Male,No,0,Graduate,No,0.0348917748917749,0.06698346413228694,0.19536903039073802,360.0,1.0,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,0.09187384044526901,0.024239806081551348,0.24023154848046308,360.0,1.0,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,0.07544836116264687,0.0,0.17221418234442834,360.0,1.0,Semiurban,Y
